
( 0.000000 ) 	 [9]
( 39.023560 ) 	 [2873]

( 39.023575 ) 	 [2889]

( 39.023560 ) 	 [2905]

( 39.023560 ) 	 [2921]

( 39.023560 ) 	 [2937]

( 39.023563 ) 	 [2953]

( 39.023563 ) 	 [2969]

( 39.023560 ) 	 [2985]

( 39.023560 ) 	 [3001]

( 39.023563 ) 	 [3017]

( 39.023560 ) 	 [3033]

( 39.023582 ) 	 [3049]

( 39.024212 ) 	 [3065]

( 39.024227 ) 	 [3081]

( 39.024216 ) 	 [3097]

( 39.024216 ) 	 [3113]

( 39.024216 ) 	 [3129]

( 39.024216 ) 	 [3145]

( 39.024216 ) 	 [3161]

( 39.024216 ) 	 [3177]

( 39.024235 ) 	 [3193]

( 39.024868 ) 	 [3209]

( 39.024883 ) 	 [3225]

( 39.024872 ) 	 [3241]

( 39.024872 ) 	 [3257]

( 39.024872 ) 	 [3273]

( 39.024876 ) 	 [3289]

( 39.024876 ) 	 [3305]

( 39.024872 ) 	 [3321]

( 39.024876 ) 	 [3337]

( 39.024872 ) 	 [3353]

( 39.024872 ) 	 [3369]

( 39.024891 ) 	 [3385]

( 39.025524 ) 	 [3401]

( 39.025536 ) 	 [3417]

( 39.025524 ) 	 [3433]

( 39.025524 ) 	 [3449]

( 39.025524 ) 	 [3465]

( 39.025524 ) 	 [3481]

( 39.025524 ) 	 [3497]

( 39.025524 ) 	 [3513]

( 39.025543 ) 	 [3529]

( 39.026058 ) 	 [3545]

( 39.026108 ) 	 [3561]

( 39.026176 ) 	 [3577]

( 39.026196 ) 	 [3593]

( 39.026180 ) 	 [3609]

( 39.026180 ) 	 [3625]

( 39.026180 ) 	 [3641]

( 39.026180 ) 	 [3657]

( 39.026184 ) 	 [3673]

( 39.026180 ) 	 [3689]

( 39.026184 ) 	 [3705]

( 39.026180 ) 	 [3721]

( 39.026184 ) 	 [3737]

( 39.026203 ) 	 [3753]

( 39.026833 ) 	 [3769]

( 39.026848 ) 	 [3785]

( 39.026836 ) 	 [3801]

( 39.026836 ) 	 [3817]

( 39.026836 ) 	 [3833]

( 39.026836 ) 	 [3849]

( 39.026836 ) 	 [3865]

( 39.026836 ) 	 [3881]

( 39.026852 ) 	 [3897]

( 39.027489 ) 	 [3913]

( 39.027504 ) 	 [3929]

( 39.027489 ) 	 [3945]

( 39.027489 ) 	 [3961]

( 39.027489 ) 	 [3977]

( 39.027489 ) 	 [3993]

( 39.027493 ) 	 [4009]

( 39.027489 ) 	 [4025]

( 39.027493 ) 	 [4041]

( 39.027489 ) 	 [4057]

( 39.027493 ) 	 [4073]

( 39.027512 ) 	 [4089]

( 40.028004 ) 	 [4105]

Latitud [-31.2645969 ]

( 40.028004 ) 	 [4121]

( 40.028004 ) 	 [4137]

( 40.028004 ) 	 [4153]

( 40.028004 ) 	 [4169]

( 39.028145 ) 	 [4185]

( 39.028156 ) 	 [4201]

( 39.028145 ) 	 [4217]

( 39.028145 ) 	 [4233]

( 39.028145 ) 	 [4249]

( 39.028145 ) 	 [4265]

( 39.028145 ) 	 [4281]

( 39.028145 ) 	 [4297]

( 39.028164 ) 	 [4313]

( 39.028797 ) 	 [4329]

( 39.028812 ) 	 [4345]

( 39.028801 ) 	 [4361]

( 39.028801 ) 	 [4377]

( 39.028801 ) 	 [4393]

( 39.028805 ) 	 [4409]

( 39.028801 ) 	 [4425]

( 39.028801 ) 	 [4441]

( 39.028801 ) 	 [4457]

( 39.028805 ) 	 [4473]

( 39.028805 ) 	 [4489]

( 39.028820 ) 	 [4505]

( 39.029453 ) 	 [4521]

( 39.029465 ) 	 [4537]

( 39.029453 ) 	 [4553]

( 39.029453 ) 	 [4569]

( 39.029453 ) 	 [4585]

( 39.029453 ) 	 [4601]

( 39.029453 ) 	 [4617]

( 39.029453 ) 	 [4633]

( 39.029472 ) 	 [4649]

( 39.030106 ) 	 [4665]

( 39.030125 ) 	 [4681]

( 39.030109 ) 	 [4697]

( 39.030109 ) 	 [4713]

( 39.030109 ) 	 [4729]

( 39.030113 ) 	 [4745]

( 39.030113 ) 	 [4761]

( 39.030109 ) 	 [4777]

( 39.030113 ) 	 [4793]

( 39.030109 ) 	 [4809]

( 39.030109 ) 	 [4825]

( 39.030136 ) 	 [4841]

( 39.030762 ) 	 [4857]

( 39.030773 ) 	 [4873]

( 39.030781 ) 	 [4889]

( 39.030766 ) 	 [4905]

( 39.030766 ) 	 [4921]

( 39.030766 ) 	 [4937]

( 39.030766 ) 	 [4953]

( 39.030766 ) 	 [4969]

( 39.030766 ) 	 [4985]

( 39.031418 ) 	 [5001]

( 39.031433 ) 	 [5017]

( 39.031418 ) 	 [5033]

( 39.031418 ) 	 [5049]

( 39.031418 ) 	 [5065]

( 39.031418 ) 	 [5081]

( 39.031422 ) 	 [5097]

( 39.031418 ) 	 [5113]

( 39.031422 ) 	 [5129]

( 39.031422 ) 	 [5145]

( 39.031418 ) 	 [5161]

( 39.031441 ) 	 [5177]

( 39.032070 ) 	 [5193]

( 39.032085 ) 	 [5209]

( 39.032093 ) 	 [5225]

( 39.032074 ) 	 [5241]

( 39.032074 ) 	 [5257]

( 39.032074 ) 	 [5273]

( 39.032074 ) 	 [5289]

( 39.032074 ) 	 [5305]

( 39.032074 ) 	 [5321]

( 39.032570 ) 	 [5337]

( 39.032619 ) 	 [5353]

( 39.032726 ) 	 [5369]

( 39.032745 ) 	 [5385]

( 39.032730 ) 	 [5401]

( 39.032730 ) 	 [5417]

( 39.032730 ) 	 [5433]

( 39.032734 ) 	 [5449]

( 39.032734 ) 	 [5465]

( 39.032730 ) 	 [5481]

( 39.032730 ) 	 [5497]

( 39.032730 ) 	 [5513]

( 39.032734 ) 	 [5529]

( 39.032749 ) 	 [5545]

( 39.033382 ) 	 [5561]

( 39.033394 ) 	 [5577]

( 39.033382 ) 	 [5593]

( 39.033382 ) 	 [5609]

( 39.033382 ) 	 [5625]

( 39.033382 ) 	 [5641]

( 39.033382 ) 	 [5657]

